,account_name,date,amount,currency,message,tx_type,vs,ss
0,"FOCUS Centrum pre sociálnu a marketingovú analýzu,",2022-07-20,-6648.0,EUR,"Úhrada DF 20222077, za prieskum",Platobný príkaz na úhradu / FIT 2.0 (EB),20222077,
1,"MISTRO, s.r.o.",2022-07-20,-2640.0,EUR,"Úhrada DF 22020089, za tlač, montáž megabordov",Platobný príkaz na úhradu / FIT 2.0 (EB),22020089,
2,Kresťanskodemokratické hnutie,2022-07-20,-50000.0,EUR,Prevod fin. prostriedkov z bežného účtu KDH - mylná platba,Platobný príkaz na úhradu / FIT 2.0 (EB),20072022,
3,Kresťanskodemokratické hnutie,2022-07-20,50000.0,EUR,Prevod fin. prostriedkov z bežného účtu KDH,Bezhotovostný vklad,20072022,
4,KDH servis s.r.o.,2022-07-18,-2520.0,EUR,Úhrada DF 1020220008 za propagačnú činnosť,Platobný príkaz na úhradu / FIT 2.0 (EB),1020220008,
5,Kresťanskodemokratické hnutie,2022-07-18,10000.0,EUR,Prevod fin. prostriedkov z bežného účtu KDH,Bezhotovostný vklad,18072022,
6,KDH servis s.r.o.,2022-07-06,-6122.0,EUR,Úhrada DF 1020220006 za propagačnú činnosť,Platobný príkaz na úhradu / FIT 2.0 (EB),1020220006,
7,"FOCUS Centrum pre sociálnu a marketingovú analýzu,",2022-07-06,-1734.0,EUR,Úhrada DF 20222065,Platobný príkaz na úhradu / FIT 2.0 (EB),20222065,
8,,2022-06-30,-5.0,EUR,Zverejňovanie účtu,Poplatok,,
9,,2022-06-30,-2.67,EUR,Poplatok za vedenie účtu,Poplatok,,
10,Kresťanskodemokratické hnutie,2022-06-20,10000.0,EUR,Prevod fin. prostriedkov z bežného účtu KDH,Bezhotovostný vklad,20062022,
