index,name,num_incoming,num_outgoing,sum_incoming,sum_outgoing,balance,mean_donation,mean_spend,num_unique_donors,mean_donation_per_unique_donor,label,timestamp,url
0,Sme Rodina,17,201,724634.13,-697726.25,26907.880000000005,42625.53705882353,-3471.2748756218907,8,90579.26625,PS,1688982916.117685,https://www.transparentneucty.sk/#/ucet/SK4409000000005200310540
1,Demokrati,101,214,495441.89,-461319.33,34122.56,4905.365247524753,-2155.697803738318,90,5504.909888888889,PS,1688982916.1366541,https://www.transparentneucty.sk/#/ucet/SK5409000000005200777415
2,Smer,13,121,2000000.0,-1219322.2800000003,780677.7199999997,153846.15384615384,-10077.043636363638,1,2000000.0,PS,1688982916.148569,https://www.transparentneucty.sk/#/ucet/SK1809000000005200055607
3,SaS,12,197,660230.0,-632539.63,27690.369999999995,55019.166666666664,-3210.8610659898477,3,220076.66666666666,PS,1688982916.181877,https://www.transparentneucty.sk/#/ucet/SK4609000000005199496092
4,OĽaNO,3,102,120001.0,-56970.920000000006,63030.079999999994,40000.333333333336,-558.5384313725491,2,60000.5,PS,1688982916.2004778,https://www.transparentneucty.sk/#/ucet/SK2509000000005198311615
5,PS,56,426,917355.0,-838282.47,79072.53000000003,16381.339285714286,-1967.7992253521127,44,20848.977272727272,PS,1688982916.28009,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk2111000000002942147187
6,Hlas,3,216,590000.0,-525319.9700000001,64680.02999999991,196666.66666666666,-2432.0368981481483,2,295000.0,PS,1688982916.2916229,https://www.transparentneucty.sk/#/ucet/SK0609000000005201155706
7,SNS,19,68,251100.0,-245799.33000000002,5300.669999999984,13215.78947368421,-3614.696029411765,1,251100.0,PS,1688982916.3144681,https://www.transparentneucty.sk/#/ucet/SK1709000000005201011948
8,LSNS,2,26,90000.0,-56569.740000000005,33430.259999999995,45000.0,-2175.759230769231,1,90000.0,PS,1688982916.320531,https://www.transparentneucty.sk/#/ucet/SK4709000000005200763670
9,MF,13,12,96850.0,-65563.0,31287.0,7450.0,-5463.583333333333,10,9685.0,PS,1688982916.323509,https://moja.csob.sk/transparent-accounts/ad7247871f62f611552a21345df81fb36b80e5ce1baaaab01f8dc25917b3b1b7
10,Republika,9,30,132100.0,-55845.18,76254.82,14677.777777777777,-1861.506,8,16512.5,PS,1688982916.336187,https://ib.vub.sk/pch/transparentne-ucty?iban=SK9402000000004786046155
11,KDH,36,131,303009.0,-146515.57,156493.43,8416.916666666666,-1118.439465648855,29,10448.586206896553,PS,1688982916.350465,https://www.transparentneucty.sk/#/ucet/SK5409000000005202509350
12,Aliancia,2,9,170000.0,-134669.4,35330.600000000006,85000.0,-14963.266666666666,1,170000.0,PS,1688982916.35303,https://moja.csob.sk/transparent-accounts/613b2b4d1d0a601831e71145f0698726a82867c366245a4019b178aae53e5f23
13,Za Ľudí,1,5,9000.0,-261.03999999999996,8738.96,9000.0,-52.20799999999999,1,9000.0,PS,1688982916.3555698,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk1111000000002945150584
14,Pirátska strana,71,78,27882.6,-27619.93,262.66999999999825,392.712676056338,-354.1016666666667,48,580.8874999999999,PS,1688982916.360257,https://ib.fio.sk/ib/transparent?a=2401881936
15,SPRAVODLIVOSŤ,3,4,4750.0,-104.04,4645.96,1583.3333333333333,-26.01,3,1583.3333333333333,PS,1688982916.362806,https://www.tatrabanka.sk/sk/personal/ucet-platby/transparentne-ucty/ucet/?iban=sk9111000000002945151763
16,Alternatíva pre Slovensko,0,0,0.0,0.0,0.0,-1.0,-1.0,0,-1.0,PS,1688982916.365379,https://ib.fio.sk/ib/transparent?a=2602594351
17,Komunistická strana Slovenska,133,62,19339.25,-18274.440000000002,1064.8099999999977,145.4078947368421,-294.7490322580646,52,371.90865384615387,PS,1688982916.373867,https://www.transparentneucty.sk/#/ucet/SK9309000000005173959220
18,"Modri, Most-Hid",8,12,350200.0,-206691.84,143508.16,43775.0,-17224.32,4,87550.0,PS,1688982916.37646,https://moja.csob.sk/transparent-accounts/d47652cb63a4b7f105908b1a03b4b6c7f83169c1c62150f2e2d562504c1be5d6
